26, 415.1, 149.63, -0.65, 1.4
27, 608.43, 206.32, -0.79, 2.63
28, 195.7, 196.55, 3.02, -0.64
29, 443.34, 103.68, 2.59, -0.57
30, 1153.67, -212.06, 1.73, 2.85
31, 519.37, 45.03, 0.2, 0.87
32, 241.32, 201.43, 2.51, 1.59
33, 997.27, 117.37, 2.24, 0.96
34, 1016.82, 89.02, 0.58, -0.28
35, 836.52, -42.94, 2.13, -0.25
36, 462.89, 86.09, 2.59, 3.09
37, 543.27, -33.17, 1.42, 0.81
38, 143.57, -67.38, -0.84, -0.62
39, 504.17, -219.88, -0.66, 1.76
40, 969.03, 204.37, 1.67, -0.47
41, 908.21, 51.87, 2.67, 0.88
42, 780.04, 107.59, -0.84, -0.05
43, 864.76, -177.84, -1.08, 1.91
44, 1101.54, -41.97, 2.16, 0.86
45, 1034.2, -18.51, 1.15, -0.9
46, 875.62, 24.5, -0.9, 0.43
47, 571.51, 44.05, -0.62, 0.64
48, 221.77, 169.18, 2.53, 2.73
49, 1066.78, -219.88, 0.37, 1.69
50, 1016.82, 42.1, 0.46, 0.92
51, 336.9, 125.19, 2.55, 2.8
52, 573.68, 97.82, -0.37, 0.04
53, 1055.92, -211.08, -0.1, -0.79
54, 384.69, 94.89, 2.73, -0.55
55, 515.03, -88.89, 1.0, -0.35
56, 627.98, 207.3, 1.16, 0.49
57, 210.91, 26.46, -1.24, -1.22
58, 193.53, 48.94, -0.55, 0.35
59, 864.76, 166.24, 0.54, 2.37
60, 593.23, -200.32, 2.96, 0.62
61, 1186.26, -152.43, 2.26, 2.99
62, 960.34, -161.22, 0.66, 0.07
63, 884.31, 77.29, 2.38, 1.18
64, 169.64, -203.26, -0.54, 2.3
65, 725.74, 191.66, 1.97, -0.84
66, 334.73, 190.68, 1.93, 1.4
67, 265.22, -71.29, 1.57, 0.37
68, 247.84, 142.78, 0.31, -0.6
69, 966.86, 216.1, 1.16, 2.63
70, 165.29, -112.35, -1.01, -0.49
71, 171.81, 160.38, 1.62, 2.22
72, 873.45, -18.51, 1.14, -0.23
73, 1101.54, 167.22, -0.8, -0.39
74, 1001.61, -192.5, 1.73, 2.26
75, 992.92, 159.4, -0.49, 1.43
76, 137.05, -192.5, 1.16, 1.51
77, 688.81, 72.4, 2.07, 1.01
78, 343.42, -165.13, 1.45, 1.36
79, 373.83, 104.66, 0.17, -0.29
80, 495.48, 172.11, -0.38, 1.62
81, 734.42, 118.35, 2.94, 3.1
82, 938.62, 80.22, 3.1, 1.0
83, 888.66, -238.45, 1.21, -0.28
84, 245.67, -145.58, 2.49, 0.89
85, 286.94, 103.68, 0.08, -0.73
86, 847.38, 5.93, 1.78, 1.13
87, 1116.74, -72.27, 2.07, -0.23
88, 784.39, 91.95, 2.36, 0.01
89, 213.08, 20.59, 1.87, -0.41
90, 536.75, -241.38, 2.13, 2.56
91, 1116.74, -157.31, 0.61, 2.63
92, 286.94, 63.6, 1.96, 0.64
93, 851.73, -107.46, 1.77, 1.55
94, 197.88, 141.81, -0.66, -1.14
95, 888.66, -168.07, 2.89, 1.46
96, 384.69, -224.76, -1.26, 0.75
97, 1129.78, -27.3, 2.03, 1.58
98, 734.42, -90.84, -0.92, -0.86
99, 643.19, 26.46, -0.81, -0.57
100, 1181.91, -8.73, 0.46, 1.42
101, 604.09, 53.83, 2.32, 1.14
102, 558.47, -159.27, -0.92, 3.01
103, 569.33, -5.8, 3.1, 2.81
104, 951.65, 8.86, 2.14, -0.59
105, 1153.67, 146.69, 2.17, 0.54
106, 339.07, -79.11, 2.75, 0.57
107, 267.39, 184.82, -1.08, 1.95
108, 1168.88, 82.18, 1.65, -0.45
109, 121.85, -85.96, 2.66, -0.3
110, 515.03, 46.01, 1.23, 0.92
111, 710.53, 94.89, 1.13, 3.09
112, 1186.26, -10.69, 2.21, 1.94
113, 215.25, 217.07, -0.13, 2.24
114, 167.46, 195.57, 1.97, -0.3
115, 1155.84, -90.84, 1.92, -1.24
116, 1162.36, -58.58, 1.58, 2.69
117, 419.45, 67.51, 3.09, 0.87
118, 888.66, -171.98, 1.26, 1.12
119, 236.98, 165.27, -1.07, -0.42
120, 347.76, 2.02, 2.5, 0.58
121, 614.95, 31.35, 0.41, 0.13
122, 395.55, 157.45, 0.51, -0.37
123, 506.34, -242.36, 0.28, 0.04
124, 441.17, -108.44, 1.71, 0.15
125, 360.8, -242.36, 2.21, 2.09
126, 578.02, 81.2, -0.45, 1.88
127, 193.53, 100.75, 0.55, 2.64
128, 356.45, -210.1, -0.78, -0.28
129, 851.73, 160.38, 1.64, 0.49
130, 321.7, 156.47, 0.01, 0.41
131, 838.69, -20.46, 1.12, 0.96
132, 562.82, -36.1, 2.73, 2.43
133, 260.87, -261.91, 1.28, -1.03
134, 667.08, 24.5, 1.54, 0.2
135, 562.82, -224.76, -0.4, 1.79
136, 362.97, -82.05, 1.31, 1.33
137, 1160.19, -269.73, 0.1, 1.46
138, 890.83, 216.1, 1.73, 1.25
139, 1038.54, -224.76, 0.34, 2.47
140, 725.74, 97.82, 0.46, 2.2
141, 1160.19, -142.65, 0.12, 0.28
142, 515.03, 118.35, 2.9, 1.97
143, 1049.4, 4.95, 0.92, 2.84
144, 452.03, -250.18, 0.73, 0.93
145, 515.03, -61.52, -0.04, -0.49
146, 953.82, 212.19, 1.01, -0.03
147, 1058.09, -15.57, 1.29, 0.04
148, 901.69, 43.08, 2.35, 1.96
149, 354.28, 86.09, 2.61, -0.53
150, 132.71, -36.1, -0.18, 0.38
151, 706.19, 63.6, 1.26, 1.6
152, 953.82, 99.77, 2.33, 1.22
153, 462.89, 89.02, 1.65, -0.09
154, 660.57, 127.14, 0.49, 2.37
155, 193.53, 171.13, 2.13, -0.85
156, 651.88, -105.51, 2.51, 1.74
157, 1164.53, -79.11, 1.99, -0.36
158, 1092.85, -233.56, 1.16, 2.71
159, 217.43, -80.09, 0.19, 2.49
160, 410.76, -241.38, -0.42, 0.6
161, 560.64, 33.3, 2.58, -1.22
162, 832.18, 154.51, 2.75, 1.55
163, 1088.5, 90.0, 0.19, 0.26
164, 467.24, 99.77, -0.17, 1.66
165, 684.46, -137.76, 2.73, 2.6
166, 204.39, -234.54, 1.1, 1.7
167, 1088.5, 154.51, 0.59, 2.65
1, 810.45, -216.94, -0.12, -0.4
2, 838.69, 150.6, -1.24, 0.85
3, 803.94, -42.94, 0.25, -0.89
4, 588.88, 135.94, 2.5, 0.53
5, 525.89, 197.52, 1.18, -0.59
6, 465.06, -112.35, -0.32, 1.96
7, 610.61, -39.03, 0.21, 1.14
8, 997.27, -171.98, 0.37, 0.55
9, 617.12, 140.83, 1.91, -0.58
10, 799.59, 21.57, 2.0, 3.08
11, 152.26, 185.79, 0.93, 2.31
12, 521.54, -201.3, -1.12, 0.59
13, 823.49, -206.19, 0.8, 1.28
14, 193.53, -248.22, 2.63, 1.13
15, 130.54, 3.98, -0.0, 1.91
16, 543.27, -159.27, 0.86, 1.34
17, 916.89, -12.64, 0.43, -0.77
18, 888.66, 81.2, 2.7, 1.06
12, 677.95, 36.23, 0.98, -0.41
13, 1149.33, 130.08, -0.35, 1.92
14, 1018.99, 152.56, 2.31, 2.43
15, 580.19, 109.55, 2.25, 0.77
16, 1021.16, 159.4, 0.12, 2.94
17, 106.64, 164.29, 2.76, 1.28
18, 1012.47, -22.42, -0.1, 2.9
19, 115.33, -116.26, 2.68, 1.26
20, 549.78, -150.47, 2.59, 1.17
21, 875.62, -117.24, -0.31, 0.74
22, 897.34, 3.98, -0.48, 2.53
23, 849.55, -13.62, -0.6, 1.01
24, 921.24, -230.63, 2.19, 1.27
25, 951.65, -84.98, -0.2, 2.42
26, 1066.78, 131.05, 2.03, -0.89
27, 167.46, -65.43, -0.2, -1.25
28, 178.33, -60.54, 0.83, 2.93
29, 719.22, -255.07, 0.77, 0.47
30, 1003.79, -57.61, 2.28, 2.31
31, 906.03, -260.93, 1.21, 1.41
32, 467.24, -47.83, 0.74, -0.1
33, 654.05, -30.24, 0.96, 0.38
34, 630.16, 136.92, 2.85, 2.42
35, 1201.46, 104.66, -0.27, 0.62
36, 1175.39, -107.46, 2.61, -1.16
37, 586.71, -142.65, 2.41, 1.45
38, 156.6, 131.05, -0.24, 1.82
39, 269.56, 24.5, 0.88, 2.48
40, 415.1, -98.66, 0.46, -0.59
41, 1010.3, -244.31, -0.87, 0.12
42, 319.52, 141.81, 2.79, 1.24
43, 580.19, 141.81, 1.75, 1.52
44, 830.0, -80.09, 2.91, 1.15
45, 408.59, -235.52, 0.37, 3.04
46, 914.72, -141.67, 2.82, 2.57
47, 452.03, -122.12, 2.59, -0.35
48, 551.96, -174.91, 1.2, 0.38
49, 940.79, 141.81, -1.0, -0.01
50, 682.29, 3.98, 2.72, 0.55
51, 510.68, 67.51, 0.86, 1.75
52, 723.56, -258.0, 2.84, -1.14
53, 682.29, 217.07, 2.97, -0.01
54, 1029.85, 159.4, -1.26, 2.36
55, 423.79, -210.1, -0.37, 1.43
56, 819.14, 67.51, 2.61, 2.23
57, 1199.29, 120.3, 2.85, 1.53
58, 384.69, -104.53, 0.96, 1.98
59, 617.12, 225.87, 2.06, 0.52
60, 491.13, -138.74, 2.9, 1.59
61, 206.57, -59.56, 0.77, 3.04
62, 1110.23, -7.75, -0.38, -0.45
63, 1179.74, 17.66, -0.04, -0.54
64, 180.5, -89.87, 2.85, 1.7
65, 747.46, 135.94, 1.46, -0.01
66, 289.11, -258.98, 1.27, 2.89
67, 769.18, -97.69, 1.42, -0.74
68, 1008.13, 195.57, 2.71, -0.43
69, 1186.26, -90.84, -1.25, 0.62
70, 647.53, 31.35, 0.22, 0.82
71, 760.49, 79.24, -0.31, -0.53
72, 1064.61, -231.61, -1.04, -0.38
73, 714.87, 129.1, 1.09, 2.74
74, 1032.02, 124.21, 2.0, 1.8
75, 1210.15, 130.08, 0.31, 2.16
76, 1201.46, 45.03, 0.13, 2.31
77, 988.58, -214.01, 0.29, 3.05
78, 547.61, -117.24, -0.72, -0.45
